property_id,area,property_type,condition,finishing_type,furnished,view_type,area_sqm,bedrooms,bathrooms,floor_number,building_age_years,year_built,parking_spaces,has_pool,has_gym,has_security,has_elevator,has_balcony,is_compound,garden_sqm,floor_to_ceiling_height_m,distance_to_center_km,distance_to_metro_km,service_charge_annual_egp,sqm_market_rate_egp,condition_multiplier,finishing_multiplier,price_egp,base_value_egp
EG-000001,New Cairo - 6th Settlement,Villa,Excellent,Fully Finished,Furnished,Pool,92,1,1,19,3,2022,1,0,1,1,0,1,0,81,2.9,20.4,0.7,19200,88000,1.08,1.22,11117000,10667000
EG-000002,Mostakbal City,Studio,Needs Renovation,Semi Finished,Unfurnished,Garden,252,6,5,18,6,2019,1,0,0,1,1,0,1,0,3.2,3.3,0.9,170000,20240,0.7,1.0,3880000,3570000
EG-000003,Mansoura,Duplex,New,Fully Finished,Unfurnished,Pool,200,5,3,23,6,2019,2,0,0,0,1,0,0,126,2.9,2.4,3.7,54400,16560,1.18,1.22,5096000,4768000
EG-000004,Heliopolis,Apartment,Excellent,Core & Shell,Unfurnished,City,100,3,2,1,9,2016,1,0,1,0,1,1,0,0,3.1,16.4,1.7,31900,25000,1.08,0.78,2157000,2106000
EG-000005,Maadi,Apartment,Fair,Semi Finished,Partially Furnished,Pool,108,2,1,22,4,2021,2,0,0,1,1,1,0,0,3.0,13.0,10.8,24200,26950,0.87,1.0,2825000,2532000
EG-000006,6th of October City,Apartment,New,Fully Finished,Unfurnished,Garden,103,2,1,11,5,2020,2,0,1,1,0,1,0,0,2.9,22.9,2.7,21900,47000,1.18,1.22,7171000,6969000
EG-000007,Alexandria - Sporting,Apartment,New,Semi Finished,Furnished,Pool,312,6,5,10,0,2025,0,0,0,1,1,0,0,0,3.0,9.0,8.2,71400,12000,1.18,1.0,4717000,4418000
EG-000008,Mohandessin,Studio,Good,Fully Finished,Unfurnished,Garden,91,2,2,15,1,2024,1,0,0,1,0,0,1,0,2.7,25.2,6.2,42300,21160,1.0,1.22,2581000,2349000
EG-000009,Aswan,Penthouse,New,Fully Finished,Unfurnished,Garden,155,4,3,3,10,2015,1,0,1,1,1,1,0,0,3.0,3.3,1.5,34400,12400,1.18,1.22,2934000,2767000
EG-000010,Hurghada,Apartment,New,Fully Finished,Unfurnished,Street,79,1,1,14,2,2023,1,0,0,1,1,0,0,0,2.9,0.8,0.2,41100,26500,1.18,1.22,3149000,3014000
EG-000011,Heliopolis,Villa,Fair,Semi Finished,Unfurnished,Street,104,2,2,10,2,2023,0,1,1,1,1,0,1,130,3.3,2.0,0.1,61100,46000,0.87,1.0,4803000,4162000
EG-000012,Hurghada,Villa,Excellent,Semi Finished,Unfurnished,Pool,81,1,1,22,23,2002,1,0,0,0,0,0,0,93,3.2,2.4,2.8,25700,56400,1.08,1.0,4927000,4934000
EG-000013,New Cairo - 5th Settlement,Apartment,Needs Renovation,Semi Finished,Unfurnished,Garden,92,2,1,17,0,2025,1,0,0,0,1,0,1,0,2.6,4.7,2.7,59900,61550,0.7,1.0,4312000,3964000
EG-000014,Ain Sokhna,Studio,New,Fully Finished,Unfurnished,Pool,99,2,2,6,9,2016,0,0,1,1,1,1,0,0,2.6,4.3,3.1,59700,83904,1.18,1.22,12119000,11958000
